X,Y
1,33.7466
2,33.9566
3,33.8626
4,33.8590
5,33.8908
6,33.8924
7,33.7722
8,33.7730
9,33.8759
10,33.9993
11,33.8667
12,33.7228
13,33.8303
14,33.9234
15,33.8698
16,33.8470
17,33.8900
18,33.9888
19,33.9622
20,33.9511
21,33.9491
22,34.1302
23,34.0630
24,34.1657
25,34.0151
26,34.0291
27,33.9548
28,33.9986
29,33.9833
30,34.0235
31,34.0431
32,33.9702
33,34.0247
34,34.0607
35,34.0520
36,33.9581
37,33.9605
38,33.8885
39,33.8201
40,33.7751
41,33.7791
42,33.7663
43,33.7834
44,33.7833
45,33.7863
46,33.7774
47,33.7724
48,33.7417
49,33.7851
50,33.7505
51,33.6310
52,33.6228
53,33.6212
54,33.6227
55,33.6506
56,33.6908
57,33.6074
58,33.5064
59,33.4723
60,33.4810
61,33.5103
62,33.4981
63,33.5275
64,33.5651
65,33.4986
66,33.4994
67,33.5197
68,33.4469
69,33.3977
70,33.4016
71,33.4172
72,33.3903
73,33.4026
74,33.4628
75,33.5008
76,33.3548
77,33.2448
78,33.1603
79,33.0911
80,33.0700
81,33.1433
82,33.1669
83,33.1757
84,33.1310
85,33.0677
86,33.0194
87,33.0125
88,33.0421
89,33.0341
90,33.1122
91,33.1390
92,33.0600
93,32.9260
94,32.9367
95,32.9397
96,32.9734
97,32.8729
98,32.9423
99,32.8899
100,32.9235
101,32.8282
102,32.8957
103,32.8738
104,32.8925
105,32.9278
106,32.9238
107,32.9204
108,32.9934
109,33.0774
110,33.0830
111,33.0932
112,33.1447
113,33.1241
114,33.1253
115,33.1031
116,33.1004
117,33.1214
118,33.1138
119,33.0923
120,33.0917
121,33.0667
122,33.1035
123,33.0245
124,33.0005
125,33.0352
126,33.0344
127,33.0710
128,33.0785
129,33.0347
130,33.0210
131,33.0161
132,32.9313
133,32.9120
134,32.8851
135,32.8875
136,32.9150
137,32.8642
138,32.8276
139,32.7864
140,32.7762
141,32.7464
142,32.7123
143,32.6915
144,32.7047
145,32.6542
146,32.6990
147,32.6646
148,32.6168
149,32.5411
150,32.5298
151,32.4942
152,32.4212
153,32.3731
154,32.3372
155,32.2625
156,32.4129
157,32.4637
158,32.4611
159,32.4522
160,32.3671
161,32.3703
162,32.3672
163,32.2688
164,32.4323
165,32.5853
166,32.6089
167,32.5668
168,32.3882
169,32.2707
170,32.1547
171,32.0118
172,32.0672
173,32.0724
174,31.9835
175,32.0256
176,32.0629
177,32.0352
178,31.9679
179,31.9221
180,31.8142
181,31.8430
182,31.7993
183,31.7160
184,31.7127
185,31.6882
186,31.7134
187,31.6390
188,31.5076
189,31.3669
190,31.3619
191,31.4450
192,31.5643
193,31.5136
194,31.5560
195,31.5652
196,31.5131
197,31.4574
198,31.5099
199,31.5325
200,31.5494
201,31.5539
202,31.5443
203,31.4811
204,31.6083
205,31.6419
206,31.6497
207,31.7016
208,31.7105
209,31.7274
210,31.7432
211,31.6923
212,31.6887
213,31.6717
214,31.7282
215,31.6479
216,31.6335
217,31.5594
218,31.5397
219,31.5008
220,31.4870
221,31.4776
222,31.4586
223,31.4483
224,31.4426
225,31.4246
226,31.4471
227,31.4460
228,31.3885
229,31.4196
230,31.3914
231,31.4436
232,31.4055
233,31.3383
234,31.3227
235,31.3638
236,31.3475
237,31.3598
238,31.3874
239,31.3918
240,31.4157
241,31.4138
242,31.4562
243,31.4257
244,31.4236
245,31.3260
246,31.2134
247,31.0798
248,31.0982
249,31.1110
250,31.1858
251,31.2593
252,31.1214
253,31.0115
254,30.8789
255,30.9224
256,31.0722
257,31.2075
258,31.3435
259,31.2723
260,31.0114
261,30.7278
262,30.8083
263,30.6345
264,30.6691
265,30.9010
266,30.9749
267,30.9989
268,30.7745
269,30.5845
270,30.5154
271,30.3703
272,30.4145
273,30.5384
274,30.5321
275,30.3790
276,30.3704
277,30.3205
278,30.3637
279,30.3602
280,30.3213
281,30.3132
282,30.2400
283,30.1226
284,29.9803
285,29.8940
286,29.8825
287,29.9685
288,29.9378
289,29.8794
290,28.5714
291,28.9064
292,28.9312
293,28.6102
294,28.5457
295,28.3838
296,28.0780
297,27.3642
298,28.4003
299,28.3909
300,28.4987
301,28.4738
302,28.5373
303,28.5457
304,28.5664
305,28.6161
306,29.8791
307,29.8414
308,29.8934
309,29.8779
310,29.8970
311,29.8433
312,29.7587
313,29.7279
314,29.6322
315,29.5818
316,29.5175
317,29.3918
318,29.3715
319,29.4193
320,29.4936
321,29.5512
322,29.6386
323,29.6773
324,29.6575
325,29.6733
326,29.7461
327,29.8276
328,29.7938
329,29.6592
330,29.5873
331,29.5945
332,29.6921
333,29.8826
334,29.9198
335,29.8394
336,29.7741
337,29.7319
338,29.7692
339,29.9349
340,30.0877
341,29.9767
342,29.7453
343,29.4423
344,29.3543
345,29.5586
346,29.8601
347,30.0284
348,30.0414
349,29.8697
350,29.4653
351,29.2342
352,29.3336
353,29.6908
354,30.0712
355,30.1772
356,30.0214
357,29.4771
358,28.8404
359,28.9057
360,29.0715
361,29.3362
362,29.7995
363,29.8339
364,29.6151
365,29.1459
366,28.8697
367,28.7378
368,28.9197
369,29.0536
370,29.1270
371,29.3170
372,29.1488
373,28.9230
374,28.7986
375,28.8458
376,28.9065
377,29.0116
378,29.0203
379,28.8994
380,28.8485
381,28.8006
382,28.7627
383,28.7582
384,28.7185
385,28.5457
386,28.6341
387,28.7017
388,28.7151
389,28.7293
390,28.7485
391,28.8073
392,28.9248
393,29.0042
394,28.9588
395,29.0879
396,29.0937
397,28.9582
398,28.9270
399,28.8857
400,28.8993
401,28.9239
402,28.9457
403,28.9375
404,28.9291
405,28.9342
406,28.9585
407,28.8504
408,28.9398
409,28.9811
410,28.9799
411,28.8995
412,28.8201
413,28.7982
414,28.7970
415,28.8181
416,28.7938
417,28.7980
418,28.7275
419,28.7250
420,28.6876
421,28.6800
422,28.7253
423,28.8469
424,28.8513
425,28.8305
426,28.6707
427,28.5322
428,28.5943
429,28.6705
430,28.8806
431,29.0161
432,29.0545
433,29.0131
434,28.8264
435,28.6936
436,28.6705
437,28.8136
438,28.7837
439,28.6726
440,28.3706
441,28.2463
442,28.3877
443,28.6698
444,28.8539
445,28.9785
446,28.8163
447,28.5921
448,28.3599
449,28.4200
450,28.4053
451,28.7201
452,28.8889
453,28.8095
454,28.4370
455,27.9637
456,27.7647
457,27.7285
458,28.0103
459,28.4125
460,28.6199
461,28.5230
462,28.2397
463,27.9438
464,27.7957
465,27.8139
466,28.1210
467,28.4585
468,28.4387
469,28.2958
470,28.0715
471,27.8314
472,27.8669
473,27.9729
474,28.1076
475,28.1153
476,28.0797
477,27.9858
478,27.8970
479,27.8614
480,27.8301
481,27.7028
482,27.8631
483,27.8960
484,27.9111
485,27.9433
486,27.9427
487,28.0341
488,28.1287
489,28.2369
490,28.1508
491,28.1506
492,28.2374
493,27.9158
494,27.9413
495,27.8866
496,27.9134
497,27.9903
498,28.0082
499,28.0152
500,28.0169
501,28.0509
502,28.0199
503,27.8643
504,27.9734
505,28.0950
506,28.0252
507,27.8772
508,27.7729
509,27.7797
510,27.8501
511,27.8903
512,27.8222
513,27.7898
514,27.7360
515,27.7363
