X,Y
1,34.5046
2,34.4659
3,34.5336
4,34.4877
5,34.4924
6,34.5083
7,34.5263
8,34.4439
9,34.4535
10,34.4644
11,34.5458
12,34.4877
13,34.4665
14,34.4761
15,34.5063
16,34.5371
17,34.5022
18,34.5157
19,34.5335
20,34.5326
21,34.5327
22,34.5163
23,34.5413
24,34.6003
25,34.6113
26,34.5551
27,34.5641
28,34.5260
29,34.5406
30,34.5156
31,34.5342
32,34.5272
33,34.5002
34,34.4966
35,34.5218
36,34.5219
37,34.4409
38,34.4503
39,34.4256
40,34.4016
41,34.3879
42,34.4062
43,34.3928
44,34.4172
45,34.4307
46,34.4548
47,34.4367
48,34.4314
49,34.4354
50,34.4286
51,34.4479
52,34.4418
53,34.3886
54,34.3703
55,34.3308
56,34.3551
57,34.3536
58,34.3457
59,34.2145
60,34.1989
61,34.2070
62,34.2242
63,34.2250
64,34.2806
65,34.2635
66,34.1581
67,34.0836
68,34.1383
69,34.1315
70,34.1093
71,34.1055
72,34.1219
73,34.0196
74,33.9495
75,33.9804
76,34.0075
77,33.9708
78,33.9675
79,33.9472
80,33.9628
81,33.9371
82,33.8979
83,33.8900
84,33.8709
85,33.8637
86,33.8586
87,33.8566
88,33.8674
89,33.8676
90,33.8198
91,33.8448
92,33.7977
93,33.8118
94,33.7754
95,33.7632
96,33.7978
97,33.7813
98,33.7896
99,33.7698
100,33.7530
101,33.7798
102,33.7533
103,33.7418
104,33.7567
105,33.7561
106,33.7746
107,33.7459
108,33.7746
109,33.8051
110,33.8355
111,33.8408
112,33.8456
113,33.8594
114,33.8377
115,33.8407
116,33.8099
117,33.8351
118,33.8261
119,33.8047
120,33.8402
121,33.8018
122,33.7961
123,33.8222
124,33.7955
125,33.7981
126,33.7785
127,33.7567
128,33.7781
129,33.7372
130,33.7331
131,33.7202
132,33.7192
133,33.6899
134,33.6422
135,33.6012
136,33.5925
137,33.6050
138,33.5854
139,33.5838
140,33.5829
141,33.5926
142,33.5883
143,33.5990
144,33.6180
145,33.6202
146,33.6300
147,33.6378
148,33.6352
149,33.5809
150,33.5519
151,33.5513
152,33.5167
153,33.4610
154,33.4141
155,33.3503
156,33.3632
157,33.4018
158,33.4456
159,33.4104
160,33.3278
161,33.3172
162,33.2739
163,33.3338
164,33.3392
165,33.3431
166,33.3455
167,33.2892
168,33.2246
169,33.1540
170,33.1175
171,33.0650
172,33.0185
173,33.0217
174,32.9962
175,33.0354
176,32.9644
177,33.0007
178,32.9911
179,32.9972
180,32.9538
181,32.9241
182,32.8800
183,32.8386
184,32.8053
185,32.8247
186,32.8370
187,32.8531
188,32.8674
189,32.8844
190,32.8788
191,32.8713
192,32.8826
193,32.8389
194,32.8510
195,32.8603
196,32.8877
197,32.8595
198,32.8987
199,32.8918
200,32.8781
201,32.8998
202,32.9080
203,32.8861
204,32.9722
205,32.9754
206,32.9286
207,32.9604
208,32.9833
209,32.9758
210,32.9857
211,32.9772
212,32.9718
213,33.0001
214,33.0257
215,33.0199
216,33.0416
217,33.0536
218,33.0438
219,33.0720
220,33.0398
221,33.0309
222,33.0306
223,33.0630
224,33.0520
225,33.0740
226,33.0803
227,33.0760
228,33.0434
229,33.0353
230,33.0040
231,32.9533
232,32.9526
233,32.8836
234,32.9174
235,32.9158
236,32.9222
237,32.9015
238,32.9092
239,32.9176
240,32.9422
241,32.9260
242,32.9277
243,32.9355
244,32.9214
245,32.9204
246,32.8732
247,32.8377
248,32.8171
249,32.8047
250,32.7796
251,32.6895
252,32.7205
253,32.7154
254,32.6739
255,32.7414
256,32.7141
257,32.7223
258,32.6700
259,32.6311
260,32.5941
261,32.5948
262,32.5170
263,32.5412
264,32.5607
265,32.5209
266,32.4669
267,32.3713
268,32.3451
269,32.3292
270,32.2859
271,32.3155
272,32.3212
273,32.3284
274,32.2634
275,32.2261
276,32.1997
277,32.1815
278,32.1646
279,32.2131
280,32.2139
281,32.2457
282,32.2426
283,32.2378
284,32.2541
285,32.2801
286,32.3371
287,32.3422
