X,Y
1,29.39649
2,29.37865
3,29.39832
4,29.36624
5,29.34876
6,29.33241
7,29.36480
8,29.36287
9,29.34286
10,29.35421
11,29.36338
12,29.37833
13,29.31689
14,29.36326
15,29.40688
16,29.37951
17,29.38323
18,29.37479
19,29.39305
20,29.40354
21,29.37235
22,29.33631
23,29.57490
24,29.50146
25,29.53290
26,29.50181
27,29.49235
28,29.45670
29,29.52253
30,29.48068
31,29.52744
32,29.44326
33,29.47556
34,29.50694
35,29.49656
36,29.49695
37,29.50356
38,29.49193
39,29.45933
40,29.51338
41,29.45129
42,29.47501
43,29.42410
44,29.40787
45,29.41678
46,29.46167
47,29.41713
48,29.42128
49,29.38491
50,29.39075
51,29.39482
52,29.36509
53,29.37839
54,29.37796
55,29.34672
56,29.33822
57,29.33861
58,29.34857
59,29.35547
60,29.32327
61,29.32394
62,29.36464
63,29.33895
64,29.31064
65,29.30298
66,29.32726
67,29.34369
68,29.32506
69,29.29092
70,29.25628
71,29.22639
72,29.25248
73,29.22672
74,29.24333
75,29.26261
76,29.21215
77,29.19987
78,29.17978
79,29.21531
80,29.23074
81,29.20455
82,29.15907
83,29.18047
84,29.13772
85,29.16863
86,29.13849
87,29.16418
88,29.17673
89,29.14752
90,29.18204
91,29.17303
92,29.15783
93,29.13719
94,29.05946
95,29.10961
96,29.07348
97,29.11567
98,29.13656
99,29.11486
100,29.12440
101,29.11818
102,29.13699
103,29.11848
104,29.18478
105,29.15135
106,29.15303
107,29.17744
108,29.21704
109,29.16810
110,29.19133
111,29.16080
112,29.14651
113,29.17398
114,29.13825
115,29.17669
116,29.20792
117,29.19111
118,29.16314
119,29.20028
120,29.23625
121,29.15993
122,29.13666
123,29.16119
124,29.15194
125,29.14665
126,29.15452
127,29.15191
128,29.15696
129,29.15261
130,29.16280
131,29.23934
132,29.20794
133,29.16892
134,29.22944
135,29.20630
136,29.20046
137,29.19005
138,29.22112
139,29.20908
140,29.19586
141,29.17130
142,29.15783
143,29.09906
144,29.10162
145,29.10799
146,29.16217
147,29.14789
148,29.15684
149,29.11205
150,29.14006
151,29.12542
152,29.13896
153,29.10331
154,29.13249
155,29.11895
156,29.06717
157,29.03838
158,29.08064
159,29.05070
160,29.05894
161,29.01904
162,29.02752
163,29.03516
164,29.07870
165,29.05062
166,29.05938
167,29.03709
168,28.99392
169,28.99142
170,28.96280
171,28.93214
172,28.94389
173,28.93504
174,28.94983
175,28.96640
176,28.96053
177,28.94409
178,28.96952
179,28.92479
180,28.93317
181,28.93356
182,28.93734
183,28.94493
184,28.94959
185,28.96888
186,28.95451
187,28.96527
188,28.96311
189,28.93818
190,28.90798
191,28.93020
192,28.89404
193,28.94253
194,28.90826
195,28.90751
196,28.82850
197,28.89785
198,28.86687
199,28.88286
200,28.85825
201,28.88516
202,28.84316
203,28.91182
204,28.92410
205,28.92874
206,28.95510
207,28.93956
208,28.87609
209,28.89980
210,28.91280
211,28.89823
212,28.90816
213,28.92921
214,28.93511
215,28.93956
216,28.92772
217,28.93234
218,28.92549
219,28.91981
220,28.90759
221,28.91349
222,28.94399
223,28.93104
224,28.95200
225,28.92298
226,28.92175
227,28.98471
228,29.01544
229,29.01417
230,29.00897
231,29.01052
232,28.99058
233,29.01885
234,28.97832
235,28.97515
236,29.00984
237,28.95742
238,28.94428
239,28.91414
240,28.92160
241,28.92016
242,28.97480
243,28.93700
244,28.91812
245,28.97338
246,28.94472
247,28.94114
248,28.92250
249,28.91158
250,28.90364
251,28.87967
252,28.87503
253,28.86842
254,28.86999
255,28.85398
256,28.81780
257,28.84971
258,28.88093
259,28.85978
260,28.78956
261,28.85091
262,28.82565
263,28.77931
264,28.79991
265,28.79889
266,28.75610
267,28.77534
268,28.70076
269,28.72137
270,28.68553
271,28.66147
272,28.71209
273,28.67227
274,28.68439
275,28.64358
276,28.71156
277,28.68915
278,28.76108
279,28.75563
280,28.74545
281,28.74115
282,28.69224
283,28.72137
284,28.70406
285,28.66489
286,28.73568
287,28.71813
288,28.69684
289,28.72391
290,28.72462
291,28.65092
292,28.65852
293,28.66753
294,28.65533
295,28.63872
296,28.59412
297,28.69371
298,28.67359
299,28.67286
300,28.68598
301,28.65482
302,28.67160
303,28.68199
304,28.67022
305,28.63817
306,28.70219
307,28.70036
308,28.70831
309,28.67091
310,28.66328
311,28.74931
312,28.69133
313,28.68740
314,28.67603
315,28.66190
316,28.69383
317,28.70335
318,28.66172
319,28.66521
320,28.71925
321,28.71567
322,28.73139
323,28.71968
324,28.78530
325,28.78211
326,28.78018
327,28.77918
328,28.77884
329,28.82392
330,28.83784
331,28.81796
332,28.83409
333,28.78848
334,28.79911
335,28.76690
336,28.72269
337,28.70967
338,28.68417
339,28.70276
340,28.65759
341,28.69835
342,28.67329
343,28.72976
344,28.75655
345,28.70284
346,28.68795
347,28.74032
348,28.74679
349,28.67439
350,28.50866
351,28.69074
352,28.65043
353,28.62521
354,28.66349
355,28.66029
356,28.68204
357,28.69725
358,28.70392
359,28.71291
360,28.68604
361,28.66274
362,28.58647
363,28.57463
364,28.58163
365,28.57577
366,28.56329
367,28.58155
368,28.54057
369,28.50685
370,28.47230
371,28.47352
372,28.51363
373,28.50128
374,28.51881
375,28.55528
376,28.55072
377,28.53018
378,28.55196
379,28.53679
380,28.53498
381,28.52125
382,28.56129
383,28.52147
384,28.57988
385,28.55442
386,28.51356
387,28.50927
388,28.52737
389,28.49394
390,28.49732
391,28.49433
392,28.50517
393,28.49669
394,28.49522
395,28.51832
396,28.56498
397,28.53559
398,28.55078
399,28.53191
400,28.54592
401,28.55188
402,28.53964
403,28.53071
404,28.53089
405,28.54149
406,28.52790
407,28.59027
408,28.55947
409,28.48200
410,28.50765
411,28.53504
412,28.51538
413,28.49341
414,28.50161
415,28.50124
416,28.52188
417,28.49321
418,28.51950
419,28.54433
420,28.55141
421,28.56241
422,28.53169
423,28.53846
424,28.56284
425,28.56286
426,28.58930
427,28.57368
428,28.57498
429,28.56733
430,28.55698
431,28.53244
432,28.56860
433,28.52017
434,28.48751
435,28.50620
436,28.48904
437,28.48548
438,28.53258
439,28.53262
440,28.49640
441,28.54787
442,28.56473
443,28.56447
444,28.52963
445,28.53697
446,28.51348
447,28.51348
448,28.48979
449,28.51981
450,28.47592
451,28.49353
452,28.50093
453,28.48278
454,28.44708
455,28.46126
456,28.47974
457,28.46089
458,28.50281
459,28.50718
460,28.48322
461,28.46185
462,28.46529
463,28.45705
464,28.37731
465,28.37578
466,28.36797
467,28.33135
468,28.35768
469,28.31449
470,28.37133
471,28.35565
472,28.33617
473,28.36356
474,28.35606
475,28.34894
476,28.38186
477,28.36513
478,28.37460
479,28.34867
480,28.37300
481,28.45630
482,28.40852
483,28.39756
484,28.37403
485,28.35933
486,28.37424
487,28.36387
488,28.39291
489,28.39522
490,28.39575
491,28.38251
492,28.42242
493,28.37918
494,28.38742
495,28.37643
496,28.33285
497,28.35390
498,28.34438
499,28.38829
500,28.35589
501,28.34721
502,28.37460
503,28.39130
504,28.42962
505,28.33987
506,28.32525
507,28.28937
508,28.33507
509,28.33723
510,28.31549
511,28.35559
512,28.33125
513,28.37448
514,28.34131
515,28.36765
516,28.35427
