X,Y
1,32.8649
2,32.7770
3,32.8522
4,32.8359
5,32.8129
6,32.7939
7,32.8454
8,32.8049
9,32.7747
10,32.8183
11,31.4928
12,32.8828
13,32.8122
14,32.8840
15,32.9365
16,32.8330
17,32.7998
18,32.8776
19,32.9589
20,32.9348
21,32.8810
22,32.8529
23,33.2495
24,33.0450
25,33.0821
26,33.0014
27,32.9767
28,32.9514
29,33.0127
30,32.9820
31,33.0519
32,32.9776
33,33.0168
34,33.0492
35,33.0701
36,33.0453
37,32.9947
38,32.9887
39,32.9583
40,32.9827
41,32.9800
42,32.9560
43,32.9670
44,32.9306
45,32.9600
46,32.9443
47,32.9301
48,32.9958
49,32.9515
50,32.9439
51,32.9601
52,32.8919
53,32.8834
54,32.9234
55,32.9393
56,32.9198
57,32.8974
58,32.9041
59,32.8610
60,32.7370
61,32.7407
62,32.8037
63,32.8572
64,32.7857
65,32.8269
66,32.7915
67,32.7536
68,32.7186
69,32.7451
70,32.7890
71,32.7028
72,32.6785
73,32.7063
74,32.7398
75,32.7116
76,32.6350
77,32.5805
78,32.5753
79,32.6269
80,32.6286
81,32.6039
82,32.5300
83,32.6314
84,32.5023
85,32.5250
86,32.4766
87,32.4984
88,32.5481
89,32.5027
90,32.5262
91,32.5468
92,32.5120
93,32.4807
94,32.3165
95,32.3710
96,32.3466
97,32.2967
98,32.2538
99,32.2946
100,32.2802
101,32.2470
102,32.2805
103,32.2729
104,32.2287
105,32.2020
106,32.1529
107,32.2667
108,32.3307
109,32.3884
110,32.4171
111,32.4421
112,32.3925
113,32.4247
114,32.3726
115,32.4077
116,32.4560
117,32.4582
118,32.4436
119,32.5093
120,32.4862
121,32.4514
122,32.4757
123,32.4611
124,32.4966
125,32.5154
126,32.4690
127,32.4946
128,32.5482
129,32.5684
130,32.5239
131,32.5110
132,32.4708
133,32.3854
134,32.4558
135,32.4155
136,32.3995
137,32.3519
138,32.3206
139,32.3082
140,32.2812
141,32.2776
142,32.2383
143,32.2148
144,32.2373
145,32.2821
146,32.2997
147,32.2875
148,32.3005
149,32.2679
150,32.1830
151,32.1701
152,32.2620
153,32.2316
154,32.2295
155,32.1601
156,32.1306
157,32.0972
158,32.1753
159,32.0850
160,32.0650
161,32.0059
162,32.0174
163,32.0711
164,32.1231
165,32.1545
166,32.0889
167,32.1946
168,32.1362
169,32.0385
170,31.9378
171,31.8101
172,31.8363
173,31.8865
174,31.8255
175,31.8375
176,31.7717
177,31.7572
178,31.6341
179,31.6151
180,31.6386
181,31.6983
182,31.7118
183,31.6759
184,31.6541
185,31.7179
186,31.6782
187,31.6638
188,31.6601
189,31.6508
190,31.5979
191,31.5951
192,31.5871
193,31.6499
194,31.6185
195,31.5653
196,31.4885
197,31.5212
198,31.5305
199,31.5026
200,31.4535
201,31.4581
202,31.2300
203,31.4880
204,31.4524
205,31.6212
206,31.5634
207,31.6041
208,31.5854
209,31.6152
210,31.5946
211,31.6575
212,31.6403
213,31.6714
214,31.6778
215,31.7865
216,31.7211
217,31.7085
218,31.7273
219,31.6489
220,31.6510
221,31.6927
222,31.6926
223,31.6945
224,31.7388
225,31.7543
226,31.7464
227,31.6753
228,31.6721
229,31.5465
230,31.5548
231,31.5260
232,31.4820
233,31.5052
234,31.4639
235,31.4465
236,31.4239
237,31.4093
238,31.4302
239,31.3946
240,31.3580
241,31.3695
242,31.4066
243,31.3667
244,31.3744
245,31.4034
246,31.2839
247,31.2335
248,31.2041
249,31.2289
250,31.1761
251,31.1360
252,31.0513
253,31.1146
254,31.1398
255,31.0181
256,30.9693
257,31.0901
258,31.0646
259,30.9745
260,30.8556
261,31.0030
262,31.0189
263,30.9197
264,30.9090
265,31.1178
266,31.0702
267,30.9916
268,30.7387
269,30.7312
270,30.7340
271,30.6887
272,30.7013
273,30.7021
274,30.6967
275,30.6144
276,30.6156
277,30.5244
278,30.5745
279,30.5696
280,30.5656
281,30.5683
282,30.5484
283,30.4896
284,30.4476
285,30.3998
286,30.3837
287,30.3651
288,30.4022
289,30.5867
290,30.5343
291,30.4982
292,30.4623
293,30.4744
294,30.3784
295,30.2574
296,30.1115
297,30.3987
298,30.1637
299,30.3307
300,30.1966
301,30.3020
302,30.3649
303,30.3881
304,30.3099
305,30.4026
306,30.4891
307,30.4249
308,30.4300
309,30.3555
310,30.4030
311,30.5476
312,30.4273
313,30.3914
314,30.2960
315,30.2217
316,30.1732
317,30.1566
318,30.1271
319,30.1138
320,30.1647
321,30.2023
322,30.2856
323,30.3030
324,30.3570
325,30.2734
326,30.2081
327,30.1269
328,30.1448
329,30.1905
330,30.2232
331,30.2631
332,30.1410
333,29.9887
334,30.0634
335,30.1463
336,30.1173
337,30.1386
338,30.1467
339,30.1454
340,29.9518
341,30.0769
342,30.3627
343,30.4229
344,30.2055
345,29.9003
346,29.8550
347,29.8009
348,29.8525
349,29.7103
350,29.7919
351,29.8566
352,29.8741
353,29.8277
354,29.6827
355,29.7661
356,29.7579
357,29.5635
358,29.6108
359,29.6197
360,29.6998
361,29.6789
362,29.5346
363,29.4160
364,29.3900
365,29.4039
366,29.3137
367,29.3325
368,29.3388
369,29.3004
370,29.2295
371,29.2191
372,29.2010
373,29.1877
374,29.2350
375,29.2764
376,29.2703
377,29.2341
378,29.2284
379,29.1750
380,29.1001
381,28.9765
382,28.9225
383,28.9224
384,29.0920
385,29.1644
386,29.0986
387,29.0199
388,29.0438
389,29.0357
390,29.0901
391,29.0746
392,29.0535
393,29.0241
394,28.8168
395,29.1862
396,29.2151
397,29.2513
398,29.2184
399,29.2222
400,29.2694
401,29.2853
402,29.2589
403,29.2943
404,29.2331
405,29.2762
406,29.2970
407,29.4241
408,29.3652
409,29.2797
410,29.2264
411,29.1569
412,29.1767
413,29.1543
414,29.1466
415,29.1450
416,29.1828
417,29.1675
418,29.0779
419,29.0666
420,29.0706
421,28.9962
422,28.8990
423,28.7540
424,28.7494
425,28.7025
426,28.7224
427,28.7229
428,28.7430
429,28.7176
430,28.6638
431,28.6897
432,28.7534
433,28.6344
434,28.7701
435,28.9034
436,28.8936
437,28.6403
438,28.5391
439,28.4131
440,28.3546
441,28.3878
442,28.5432
443,28.6915
444,28.7648
445,28.5862
446,28.4525
447,28.3144
448,28.2104
449,28.1559
450,28.3036
451,28.5975
452,28.6752
453,28.6253
454,28.4460
455,28.3535
456,28.2321
457,28.1003
458,28.1193
459,28.1436
460,28.2937
461,28.3137
462,28.3009
463,28.2302
464,28.1087
465,28.0177
466,28.0380
467,28.0555
468,28.1368
469,28.2006
470,28.2515
471,28.1918
472,28.2060
473,28.1601
474,28.1709
475,28.1416
476,28.1239
477,28.0214
478,28.0295
479,28.1010
480,28.1324
481,28.2660
482,28.2212
483,28.1505
484,28.0515
485,28.0561
486,28.1150
487,28.1289
488,28.1093
489,28.0485
490,27.6365
491,28.2968
492,28.3604
493,28.4847
494,28.4604
495,28.3363
496,28.3745
497,28.3114
498,28.3130
499,28.3143
500,28.2886
501,28.2395
502,28.2949
503,28.4394
504,28.3979
505,28.2202
506,28.0714
507,27.9614
508,28.0649
509,28.1592
510,28.0970
511,28.0855
512,28.0023
513,28.0541
514,27.9455
515,27.9325
516,27.8340
517,27.8590
518,27.7374
519,27.6271
520,27.5847
521,27.5292
522,27.5382
523,27.6192
524,27.6925
525,27.6650
526,27.6128
527,27.4911
528,27.4966
529,27.4450
530,27.4575
531,27.5813
532,27.6323
533,27.6290
534,27.4673
535,27.3862
536,27.1933
537,27.1466
538,27.1952
539,27.2273
540,27.3753
541,27.3437
542,27.4100
543,27.1616
544,27.0177
545,26.8678
546,26.9908
547,27.0750
548,27.2842
549,27.4834
550,27.4525
551,27.3057
552,27.1232
553,26.8979
554,26.8516
555,26.9488
556,27.1104
557,27.2229
558,27.0563
559,27.0293
560,26.9463
561,26.7784
562,26.6975
563,26.7632
564,26.7807
565,26.9027
566,26.8486
567,26.8117
568,26.7565
569,26.7889
570,26.8034
571,26.8517
572,26.8514
573,26.8558
574,26.8734
575,26.9199
576,26.8748
577,27.0467
578,27.0974
579,26.9834
580,26.9595
581,27.0084
582,27.0871
583,27.0301
584,26.9227
585,26.8404
586,26.4384
587,26.9704
588,27.0728
589,26.9020
590,26.9488
591,26.9506
592,26.9072
593,26.9411
594,26.9594
595,27.0028
596,27.0390
597,27.0258
598,27.0095
599,27.1554
600,27.0859
601,26.9112
602,26.8349
603,26.8465
604,26.9519
605,26.9743
606,26.9250
607,26.9443
608,26.8631
609,26.8293
610,26.7569
611,26.7467
612,26.8131
613,26.7797
614,26.6809
615,26.5556
616,26.4299
617,26.4445
618,26.4923
619,26.5345
620,26.5308
621,26.5035
622,26.4903
623,26.2764
624,26.3637
625,26.5517
626,26.6402
627,26.4603
628,26.4294
629,26.2687
630,26.0543
631,25.9895
632,26.1777
633,26.3412
634,26.3546
635,26.2804
636,26.1235
637,25.9865
638,25.9144
639,25.8294
640,25.7816
641,25.8408
642,25.8369
643,25.9027
644,25.8289
645,25.7640
646,25.7351
647,25.6517
648,25.5361
649,25.4648
650,25.6296
651,25.5954
652,25.5753
653,25.3767
654,25.2957
655,25.4033
656,25.3688
657,25.3526
658,25.3368
659,25.3686
660,25.2825
661,25.2793
662,25.2974
663,25.2890
664,25.2283
665,25.2394
666,25.2375
667,25.1958
668,25.2925
669,25.3012
670,25.3348
671,25.3727
672,25.3665
673,25.4546
674,25.4206
675,25.3299
676,25.2936
677,25.2877
678,25.2653
679,25.1748
680,25.0897
681,25.0329
682,24.8126
683,25.1694
684,25.1411
685,25.3656
686,25.2551
687,25.4450
688,25.3047
689,25.2721
690,25.3640
691,25.3181
692,25.2599
693,25.2467
694,25.3253
695,25.3772
696,25.3747
697,25.0640
698,25.0860
699,25.0298
700,24.9429
701,25.0304
702,24.7832
703,25.0113
704,24.8849
705,24.9742
706,25.0322
707,25.0819
708,25.3492
709,25.2037
710,25.1714
711,25.1417
712,25.1578
713,25.2618
714,25.2224
715,25.2327
716,25.2121
717,25.0667
718,25.0045
719,24.9870
720,25.0077
721,24.9464
722,24.8917
723,24.9479
724,25.0186
725,25.0095
726,24.7812
727,24.6059
728,24.5831
729,24.6327
730,24.7784
731,24.8288
732,24.8161
733,24.7074
734,24.5721
735,24.3219
736,24.4675
737,24.5964
738,24.6813
739,24.7001
740,24.6205
741,24.4483
742,24.2046
743,24.0735
744,23.8946
745,24.0117
746,24.1442
747,24.1665
748,24.1160
749,24.0185
750,23.9840
751,23.9054
752,23.9706
753,24.0560
754,24.0840
755,24.0645
756,24.0683
757,24.0517
758,24.0618
759,24.0763
760,24.2164
761,24.2520
762,24.2865
763,24.2846
764,24.3284
765,24.4338
766,24.3290
767,24.2617
768,24.3832
769,24.3868
770,24.2109
771,24.1200
772,24.1145
773,24.2432
774,24.4046
775,24.2204
776,24.0756
777,24.1749
778,24.0420
779,24.0377
780,24.1044
781,24.1338
782,24.2147
783,24.1869
784,24.2202
785,24.2182
786,24.1799
787,24.1317
788,24.1679
789,24.1116
790,24.1744
791,24.1145
792,24.0501
793,23.9862
794,24.0871
795,24.0265
796,23.9560
797,23.9420
798,23.8960
799,23.7991
800,23.7715
801,23.8709
802,23.9882
803,24.0139
804,24.0590
805,24.0416
806,24.0077
807,24.0514
808,24.0704
809,24.1127
810,24.1449
811,24.1062
812,24.0578
813,23.9816
814,23.9020
815,23.8288
816,23.7538
817,23.6761
818,23.6239
819,23.6991
820,23.6408
821,23.7153
822,23.6548
823,23.5515
824,23.5231
825,23.4754
826,23.5889
827,23.5364
828,23.3978
829,23.3702
830,23.4534
831,23.2770
832,23.1639
833,23.2453
834,23.3555
835,23.3421
836,23.0664
837,23.2682
838,23.3765
839,23.5151
840,23.2205
841,23.2271
842,23.2274
843,23.0882
844,22.8862
845,22.9324
846,22.8813
847,22.8831
848,22.7716
849,22.7812
850,22.8167
851,22.8231
852,22.7544
853,22.6721
854,22.5908
855,22.5247
856,22.6130
857,22.5738
858,22.5349
859,22.7901
860,23.1090
861,23.0102
862,22.8077
863,22.8256
864,22.8199
865,22.9250
866,22.8790
867,22.8745
868,22.8068
869,22.8045
870,22.8034
871,22.8524
872,22.8592
873,22.7767
874,22.8138
875,22.8301
876,22.8772
877,22.9688
878,22.8845
879,22.9519
880,22.9282
881,22.8178
882,22.8252
883,22.7524
884,22.7722
885,22.7190
886,22.6561
887,22.8570
888,22.8375
889,22.7179
890,22.7583
891,22.7881
892,22.7864
893,22.7568
894,22.7978
895,22.7397
896,22.7659
897,22.7278
898,22.8025
899,22.7804
900,22.6958
901,22.6366
902,22.5995
903,22.5569
904,22.5143
905,22.4824
906,22.4744
907,22.4383
908,22.3505
909,22.2714
910,22.2785
911,22.3317
912,22.2266
913,22.1652
914,22.0254
915,22.0447
916,21.9799
917,21.9440
918,21.9252
919,21.8606
920,21.8084
921,21.6252
922,21.5369
923,21.5771
924,21.5214
925,21.5419
926,21.6871
927,21.6520
928,21.6064
929,21.4628
930,21.4008
931,21.5515
932,21.5714
933,21.3936
934,21.5773
935,21.5723
936,21.4446
937,21.2319
938,21.1730
939,21.3437
940,21.4300
941,21.4171
942,21.4047
943,21.3864
944,21.2953
945,21.1279
946,21.1570
947,21.2766
948,21.1999
949,21.2329
950,21.2406
951,21.3101
952,21.3130
953,21.2424
954,21.2959
955,21.5484
956,21.7040
957,21.6756
958,21.5866
959,21.6320
960,21.6083
961,21.8178
962,21.7875
963,21.5346
964,21.9266
965,21.6240
966,21.7845
967,21.6205
968,21.7543
969,21.7162
970,21.6444
971,21.8221
972,21.4176
973,21.7141
974,21.6624
975,21.7379
976,21.8953
977,22.2869
978,22.3556
979,22.4885
980,22.4453
981,22.4240
982,22.2886
983,22.5534
984,22.4348
985,22.3289
986,22.3173
987,22.2752
988,22.3896
989,22.3341
990,22.2270
991,22.4819
992,22.5882
993,22.4897
994,22.3490
995,22.2140
996,22.0615
997,22.0705
998,22.1184
999,22.0553
1000,21.9430
1001,21.8760
1002,21.9554
1003,21.9394
1004,21.8623
1005,21.8156
1006,21.6937
1007,21.4494
1008,21.1790
1009,21.0882
1010,21.1131
1011,21.0174
1012,20.9068
1013,20.8567
1014,20.6701
1015,20.3170
1016,20.3935
1017,20.4544
1018,20.5312
1019,20.7241
1020,20.6346
1021,20.2637
1022,19.8930
1023,20.2252
1024,20.1567
1025,20.0298
1026,20.5870
1027,20.7536
1028,20.7304
1029,20.1544
1030,19.7895
1031,19.9848
1032,20.1017
1033,20.2870
1034,20.2631
1035,19.8412
1036,19.7053
1037,19.6511
1038,19.6104
1039,19.4598
1040,19.4694
1041,19.5411
1042,19.5013
1043,19.2205
1044,19.0888
1045,18.8736
1046,18.9555
1047,19.0837
1048,19.1826
1049,19.0647
1050,19.1365
1051,19.2735
1052,19.5260
1053,19.4151
1054,19.4635
1055,19.5602
1056,19.5737
1057,19.5437
1058,19.7952
1059,19.6909
1060,19.8533
1061,19.8828
1062,19.9637
1063,19.7162
1064,19.8810
