nom de la gare,longitude,latitude
Saarbrucken-Hbf,6.990968,49.24065
Frankfurt-am-Main-Hbf,8.66405,50.107216
Mannheim-Hbf,8.470079,49.479714
Karlsruhe-Hbf,8.400254,48.99439
Baden-Baden,8.191165,48.790281
Appenweier,7.973672,48.541326
Legelshurst,7.913724,48.558571
Kork,7.874009,48.570017
Augsburg-Hbf,10.886756,48.365581
Port-Bou,3.15786,42.424467
Irun,-1.801337,43.339432
Trier-Hbf,6.652361,49.756761
Konz-Mitte,0.0,0.0
Perl,0.0,0.0
Pantin,2.400426,48.897776
Stuttgart,9.180496,48.783622
Neustadt (Weinstr) Hbf,8.140647,49.350034
Landau Hbf,8.12557,49.1976
Vercelli,8.414824,45.329112
WINDEN PFALZ,8.122376,49.095415
Kaiserslautern-Hbf,7.768563,49.43628
Munchen-Hbf,11.560415,48.140325
Kehl,7.808005,48.576486
Offenburg,7.946696,48.476447
Freiburg-Breisgau,7.841564,47.997776
